sic,ff_48ind,ff_48ind_name,ff_48ind_desc
100,1,Agric,Agriculture
101,1,Agric,Agriculture
102,1,Agric,Agriculture
103,1,Agric,Agriculture
104,1,Agric,Agriculture
105,1,Agric,Agriculture
106,1,Agric,Agriculture
107,1,Agric,Agriculture
108,1,Agric,Agriculture
109,1,Agric,Agriculture
110,1,Agric,Agriculture
111,1,Agric,Agriculture
112,1,Agric,Agriculture
113,1,Agric,Agriculture
114,1,Agric,Agriculture
115,1,Agric,Agriculture
116,1,Agric,Agriculture
117,1,Agric,Agriculture
118,1,Agric,Agriculture
119,1,Agric,Agriculture
120,1,Agric,Agriculture
121,1,Agric,Agriculture
122,1,Agric,Agriculture
123,1,Agric,Agriculture
124,1,Agric,Agriculture
125,1,Agric,Agriculture
126,1,Agric,Agriculture
127,1,Agric,Agriculture
128,1,Agric,Agriculture
129,1,Agric,Agriculture
130,1,Agric,Agriculture
131,1,Agric,Agriculture
132,1,Agric,Agriculture
133,1,Agric,Agriculture
134,1,Agric,Agriculture
135,1,Agric,Agriculture
136,1,Agric,Agriculture
137,1,Agric,Agriculture
138,1,Agric,Agriculture
139,1,Agric,Agriculture
140,1,Agric,Agriculture
141,1,Agric,Agriculture
142,1,Agric,Agriculture
143,1,Agric,Agriculture
144,1,Agric,Agriculture
145,1,Agric,Agriculture
146,1,Agric,Agriculture
147,1,Agric,Agriculture
148,1,Agric,Agriculture
149,1,Agric,Agriculture
150,1,Agric,Agriculture
151,1,Agric,Agriculture
152,1,Agric,Agriculture
153,1,Agric,Agriculture
154,1,Agric,Agriculture
155,1,Agric,Agriculture
156,1,Agric,Agriculture
157,1,Agric,Agriculture
158,1,Agric,Agriculture
159,1,Agric,Agriculture
160,1,Agric,Agriculture
161,1,Agric,Agriculture
162,1,Agric,Agriculture
163,1,Agric,Agriculture
164,1,Agric,Agriculture
165,1,Agric,Agriculture
166,1,Agric,Agriculture
167,1,Agric,Agriculture
168,1,Agric,Agriculture
169,1,Agric,Agriculture
170,1,Agric,Agriculture
171,1,Agric,Agriculture
172,1,Agric,Agriculture
173,1,Agric,Agriculture
174,1,Agric,Agriculture
175,1,Agric,Agriculture
176,1,Agric,Agriculture
177,1,Agric,Agriculture
178,1,Agric,Agriculture
179,1,Agric,Agriculture
180,1,Agric,Agriculture
181,1,Agric,Agriculture
182,1,Agric,Agriculture
183,1,Agric,Agriculture
184,1,Agric,Agriculture
185,1,Agric,Agriculture
186,1,Agric,Agriculture
187,1,Agric,Agriculture
188,1,Agric,Agriculture
189,1,Agric,Agriculture
190,1,Agric,Agriculture
191,1,Agric,Agriculture
192,1,Agric,Agriculture
193,1,Agric,Agriculture
194,1,Agric,Agriculture
195,1,Agric,Agriculture
196,1,Agric,Agriculture
197,1,Agric,Agriculture
198,1,Agric,Agriculture
199,1,Agric,Agriculture
200,1,Agric,Agriculture
201,1,Agric,Agriculture
202,1,Agric,Agriculture
203,1,Agric,Agriculture
204,1,Agric,Agriculture
205,1,Agric,Agriculture
206,1,Agric,Agriculture
207,1,Agric,Agriculture
208,1,Agric,Agriculture
209,1,Agric,Agriculture
210,1,Agric,Agriculture
211,1,Agric,Agriculture
212,1,Agric,Agriculture
213,1,Agric,Agriculture
214,1,Agric,Agriculture
215,1,Agric,Agriculture
216,1,Agric,Agriculture
217,1,Agric,Agriculture
218,1,Agric,Agriculture
219,1,Agric,Agriculture
220,1,Agric,Agriculture
221,1,Agric,Agriculture
222,1,Agric,Agriculture
223,1,Agric,Agriculture
224,1,Agric,Agriculture
225,1,Agric,Agriculture
226,1,Agric,Agriculture
227,1,Agric,Agriculture
228,1,Agric,Agriculture
229,1,Agric,Agriculture
230,1,Agric,Agriculture
231,1,Agric,Agriculture
232,1,Agric,Agriculture
233,1,Agric,Agriculture
234,1,Agric,Agriculture
235,1,Agric,Agriculture
236,1,Agric,Agriculture
237,1,Agric,Agriculture
238,1,Agric,Agriculture
239,1,Agric,Agriculture
240,1,Agric,Agriculture
241,1,Agric,Agriculture
242,1,Agric,Agriculture
243,1,Agric,Agriculture
244,1,Agric,Agriculture
245,1,Agric,Agriculture
246,1,Agric,Agriculture
247,1,Agric,Agriculture
248,1,Agric,Agriculture
249,1,Agric,Agriculture
250,1,Agric,Agriculture
251,1,Agric,Agriculture
